SAMPLE,x,y,Block,Plot,Treatment,SOIL,P,K,Mg,pH,Sand,Silt,Clay,som,texture,bulk.density,Total.colembola,Colem.Epigeic,Colem.Hemiedaphic,Colem.Eudaphic,Aranae.>5mm,Aranae.<5mm,Total Aranae,Mites,Isopods,Diplopods.>5mm,Diplopods.<5mm,Total Diplopods,Symphylans,Chilopods.>5mm,Chilopods.<5mm,Total Chilopods,Proturans,Diplurans,Isoptera,Psocoptera,Tysanoptera,Coleoptera.3.4,Coleoptera.2.4,Coleoptera.1.4,Coleoptera.0.4,Total adult coleoptera,Hymenoptera.other,Diptera adult,Coleoptera.lavae,Total Coleoptera,Hymenoptera.lavae,Total.Hymenoptera,Diptera lavae,Other holometabolos,Total Diptera,Total.count,Chelicerata,Hexapoda,Crustacea,Myriapoda
2,359416.9406,335518.261,1,1,Conventional,Sandy Loam,14,64.85,63.65,6.05,56,26,18,3.659,sandy Loam,1.13,383,24,131,228,,1,1,315,,,,0,,,,0,5,,,,,,,,,0,,,1,1,,0,2,,2,707,316,391,0,0
8,359369.7673,335476.152,1,1,Conventional,Sandy Loam,15.2,65.25,63.65,5.69,53,30,17,3.754,sandy Loam,1.38,168,14,97,57,,7,7,156,,,,0,,,,0,2,,1,,,,,,,0,,,,0,,0,2,,2,336,163,173,0,0
11,359319.5654,335468.1823,1,1,Conventional,Clay Loam,10,101.1,77.4,5.93,48,32,20,3.591,Clay Loam,1.43,606,26,243,337,,,0,176,,,,0,,,,0,4,4,,,,,,,,0,,9,,0,,0,8,,17,807,176,631,0,0
19,359300.1922,335442.0954,1,1,Conventional,Sandy Loam,11.8,64.45,63.55,5.73,58,24,18,3.525,sandy Loam,1.46,548,10,201,337,,1,1,233,,,,0,,,6,6,,,,,,,,2,,2,,5,,2,,0,4,,9,799,234,559,0,6
22,359277.9391,335429.2904,1,1,Conventional,Sandy Clay Loam,11.8,77.35,78.2,5.99,55,26,19,3.720,sandy Clay Loam,1.67,215,22,77,116,,,0,49,,,,0,,,,0,1,,,1,,,,,,0,,3,,0,8,8,12,,15,289,49,240,0,0
28,359264.4871,335464.7777,1,2,Conservation,Sandy Loam,12.4,124.05,77.85,6.39,59,24,17,3.412,sandy Loam,1.63,510,14,60,436,,1,1,33,,,,0,,,,0,5,,,,,,,,,0,,9,,0,,0,1,,10,559,34,525,0,0
33,359292.3979,335474.7429,1,2,Conservation,Sandy Loam,15.4,112.4,81.4,5.72,56,26,18,3.740,sandy Loam,1.72,420,39,177,204,,,0,471,,,,0,,1,,1,2,4,,,,,1,,,1,,,1,2,,0,2,,2,902,471,430,0,1
40,359317.752,335480.037,1,2,Conservation,Clay Loam,15.8,128.1,71.4,6.36,49,31,20,3.756,Clay Loam,1.4,1251,121,425,705,,4,4,185,,,1,1,,,,0,,,,,,,,1,,1,,2,2,3,,0,4,,6,1450,189,1260,0,1
44,359387.4382,335527.6155,1,2,Conservation,Sandy Loam,15,182.1,76.9,6.14,56,27,17,3.891,sandy Loam,1.36,560,2,177,381,,,0,31,,,,0,,,,0,1,,,,,,,,,0,,2,,0,,0,,,2,594,31,563,0,0
48,359402.0449,335525.9359,1,2,Conservation,Sandy Loam,9.6,112.4,69.35,5.92,57,25,18,3.595,sandy Loam,1.44,742,8,102,632,,,0,86,,,1,1,,,,0,38,1,,,,,,,,0,,5,,0,,0,1,,6,874,86,787,0,1
51,359394.297,335546.6745,2,3,Conventional,Sandy Loam,11.6,128.9,71.3,6.4,55,27,18,3.833,sandy Loam,1.27,462,36,97,329,,,0,79,,,,0,,,3,3,2,,,,,,,,,0,,,,0,2,2,2,,2,550,79,468,0,3
58,359337.91,335531.793,2,3,Conventional,Sandy Loam,10.6,121.65,71.3,6.9,58,26,16,3.400,sandy Loam,1.46,624,127,206,291,,1,1,170,,,,0,,,1,1,2,,,,,,,10,,10,1,3,,10,,1,6,3,9,821,171,649,0,1
64,359313.9659,335501.0547,2,3,Conventional,Sandy Loam,11.6,83.8,60.8,6.99,58,24,18,3.703,sandy Loam,1.09,769,21,378,370,,,0,163,,,1,1,1,,,0,7,16,,4,,,,,,0,,9,,0,,0,10,,19,980,163,815,0,2
66,359301.6051,335502.0553,2,3,Conventional,Sandy Clay Loam,17.2,79.75,87.05,6.03,52,28,20,3.985,sandy Clay Loam,1.29,237,13,71,153,,,0,139,,,10,10,,1,,1,7,5,,,,,,,,0,,1,1,1,,0,2,,3,403,139,253,0,11
72,359276.1496,335494.4502,2,3,Conventional,Sandy Clay Loam,15,155.5,86.95,6.38,53,27,20,4.509,sandy Clay Loam,1.15,209,8,46,155,,,0,59,,,1,1,1,,,0,3,6,,,,,1,,,1,,3,,1,,0,5,,8,288,59,227,0,2
78,359286.0076,335523.4017,2,4,Conservation,Sandy Clay Loam,13.8,169.6,99.5,6.41,56,24,20,3.986,sandy Clay Loam,1.5,197,17,55,125,,3,3,73,,,,0,,,,0,,,,1,,,,,,0,,7,2,2,,0,4,,11,287,76,211,0,0
81,359292.9791,335516.9458,2,4,Conservation,Sandy Loam,14.2,211.9,100.1,6,59,24,17,3.584,sandy Loam,1.28,254,21,120,113,,,0,77,,,,0,,,,0,84,3,,,,,,,,0,,6,,0,,0,6,,12,430,77,353,0,0
88,359303.9433,335533.8142,2,4,Conservation,Sandy Loam,13.8,213.5,108.2,6.37,60,23,17,4.110,sandy Loam,1.23,232,12,103,117,,,0,574,,,,0,,,,0,,,,,,,,3,,3,,1,3,6,,0,,,1,813,574,239,0,0
92,359322.77,335538.193,2,4,Conservation,Sandy Loam,16.2,244.1,91.45,6.82,58,25,17,3.600,sandy Loam,1.17,480,71,187,222,,1,1,80,,,,0,,,,0,,,,,,,,,,0,,1,,0,,0,1,,2,563,81,482,0,0
96,359374.8231,335571.121,2,4,Conservation,Sandy Loam,12.6,192.15,86.55,6.24,54,28,18,3.680,sandy Loam,1.47,219,21,113,85,,1,1,75,,,3,3,,,,0,10,15,,1,,,,,,0,,2,2,2,,0,10,,12,338,76,259,0,3
103,359369.9973,335599.5528,3,5,Conventional,Sandy Clay Loam,11.6,122.05,73.9,6.68,53,28,19,3.973,sandy Clay Loam,1.14,56,7,23,26,,1,1,33,,,,0,,,,0,5,,,,,,,,,0,,9,,0,,0,1,,10,105,34,71,0,0
110,359321.4829,335564.0869,3,5,Conventional,Sandy Loam,13.2,135.35,79.65,6.4,58,25,17,4.103,sandy Loam,1.14,164,9,27,128,1,,1,28,,,,0,,,,0,2,14,,,,,,7,,7,,1,,7,,0,1,,2,218,29,189,0,0
114,359291.7049,335554.7186,3,5,Conventional,Sandy Clay Loam,13.6,108.75,78.85,6.36,52,28,20,3.596,sandy Clay Loam,1.43,318,34,58,226,,3,3,172,,,,0,,,,0,,,,,,,2,,,2,,2,,2,,0,4,,6,501,175,326,0,0
116,359285.8057,335548.889,3,5,Conventional,Sandy Loam,17.2,123.25,87,6.54,56,26,18,3.413,sandy Loam,0.94,434,24,64,346,,,0,87,,,,0,,,,0,,,,,1,,,2,,2,,4,2,4,,0,3,,7,533,87,446,0,0
122,359270.3686,335539.6613,3,5,Conventional,Sandy Loam,18.2,131.75,87.55,6.69,58,24,18,3.817,sandy Loam,1.27,546,27,96,423,,,0,155,,,1,1,,,,0,5,,,,,,,,,0,,5,,0,,0,4,,9,716,155,560,0,1
126,359229.693,335547.662,3,6,Conservation,Sandy Clay Loam,11.2,184.5,109.05,6.15,58,22,20,4.049,sandy Loam,1.3,751,32,453,266,,2,2,115,,,1,1,,,1,1,,4,,,,,,3,,3,1,5,1,4,,1,3,,8,887,117,768,0,2
135,359272.321,335571.835,3,6,Conservation,Sandy Loam,36.8,313.4,99.25,5.94,62,22,16,4.075,sandy Clay Loam,1.39,315,29,168,118,,2,2,122,,,,0,,,,0,,1,,,2,,,,,0,,1,,0,,0,3,,4,446,124,322,0,0
136,359287.003,335574.718,3,6,Conservation,Sandy Clay Loam,18.4,204.25,77.6,6.07,55,26,19,4.040,sandy Loam,1.35,538,20,108,410,,3,3,478,,,1,1,,,,0,,,,,,,,1,,1,,2,,1,,0,4,,6,1027,481,545,0,1
145,359348.258,335599.071,3,6,Conservation,Sandy Loam,15,234.85,78.65,6.72,59,24,17,4.174,sandy Clay Loam,1.55,459,23,91,345,,6,6,138,,,,0,,,,0,3,7,,1,,,,,,0,,1,,0,,0,6,,7,621,144,477,0,0
148,359352.629,335615.192,3,6,Conservation,Sandy Loam,20.6,234.45,92.2,6.26,58,26,16,4.155,sandy Loam,1.56,116,7,32,77,,,0,16,1,,,0,,,,0,1,,,,,,,,,0,,,,0,,0,,,0,134,16,117,1,0
154,359190.2037,335399.1176,4,7,Conservation,Sandy Clay Loam,15.8,142.6,69.55,5.78,56,25,19,3.306,sandy Loam,1.58,463,3,23,437,,,0,133,,1,,1,1,,,0,3,14,,1,,,,1,,1,1,1,1,2,,1,3,,4,623,133,488,0,2
158,359160.968,335379.107,4,7,Conservation,Sandy Loam,10,134.95,64.95,6.11,61,22,17,3.456,sandy Clay Loam,1.3,584,15,89,480,,2,2,327,,,1,1,,,3,3,12,,,,,,,,,0,1,7,1,1,,1,10,,17,948,329,615,0,4
165,359110.5954,335352.9916,4,7,Conservation,Sandy Loam,17.8,285.2,53.7,6.31,68,17,15,3.391,sandy Loam,1.36,92,12,61,19,,,0,102,,,,0,,,,0,,,,,,,,,,0,,1,,0,,0,2,,3,197,102,95,0,0
167,359082.1857,335317.199,4,7,Conservation,Sandy Loam,16.6,147.45,49.1,6.3,62,21,17,2.999,sandy Loam,1.51,186,2,43,141,,,0,170,,,,0,,,,0,,,,,,,,,,0,,,,0,,0,,,0,356,170,186,0,0
173,358975.3835,335242.9963,4,7,Conservation,Sandy Clay Loam,16.6,253,61.3,5.66,58,21,21,3.480,sandy Loam,1.27,130,5,36,89,,,0,111,,,2,2,,1,2,3,13,1,,,,,,,,0,1,2,,0,,1,2,,4,265,111,149,0,5
177,358946.636,335239.1467,4,8,Conventional,Sandy Loam,12,57.6,55.25,6.51,63,19,18,3.286,sandy Clay Loam,1.26,664,12,102,550,,1,1,319,,,,0,,,,0,5,,,,,,,,,0,,1,3,3,,0,20,,21,1013,320,693,0,0
183,359057.6594,335329.9529,4,8,Conventional,Sandy Loam,12.6,87,54.3,6.33,64,19,17,3.051,sandy Loam,1.33,651,56,199,396,,3,3,236,,,,0,,,1,1,1,,,,,,,1,,1,1,1,1,2,,1,1,,2,897,239,657,0,1
186,359117.8077,335371.5729,4,8,Conventional,Sandy Loam,12.2,57.6,43.9,6.56,68,17,15,3.235,sandy Loam,1.4,318,27,47,244,,,0,404,,,,0,,,,0,,,,,,,,,,0,1,4,,0,,1,10,,14,737,404,333,0,0
194,359153.1049,335400.1098,4,8,Conventional,Sandy Clay Loam,10.8,104.35,76.85,6.45,59,21,20,3.358,sandy Clay Loam,1.45,437,66,164,207,,,0,632,,,,0,,,,0,,,,,,,,,2,2,,1,,2,,0,12,,13,1084,632,452,0,0
200,359178.2307,335430.2386,4,8,Conventional,Sandy Loam,7.6,74.95,69.85,6.63,66,19,15,3.334,sandy Loam,1.25,358,55,150,153,,5,5,264,,,,0,,,,0,2,2,,,,,,6,2,8,,,,8,,0,2,,2,641,269,372,0,0
201,359157.247,335443.42,5,9,Conservation,Sandy Clay Loam,13.6,103.95,84.6,6.24,57,23,20,3.445,sandy Clay Loam,1.23,656,30,403,223,,3,3,200,,,3,3,,,,0,4,,,,,,,,,0,,5,,0,,0,5,1,10,877,203,671,0,3
208,359122.15,335409.318,5,9,Conservation,Sandy Clay Loam,12.6,153.1,73.5,6.28,60,21,19,3.316,sandy Clay Loam,1.29,103,13,37,53,,18,18,201,,,,0,,,1,1,1,2,,,,,,,,0,,1,,0,,0,,,1,327,219,107,0,1
212,359108.456,335397.857,5,9,Conservation,Sandy Loam,14.6,164.75,69.25,6.2,65,19,16,3.288,sandy Loam,1.41,514,23,135,356,,4,4,183,,2,,2,,,1,1,2,1,,,,1,,,,1,,9,,1,,0,1,,10,718,187,528,0,3
216,359037.105,335338.925,5,9,Conservation,Sandy Loam,19,190.55,68.45,6.32,63,20,17,3.161,sandy Loam,1.23,252,32,60,160,,,0,185,,,1,1,,,,0,,2,,,,,,,,0,1,1,,0,,1,1,,2,443,185,257,0,1
223,358964.873,335282.219,5,9,Conservation,Sandy Loam,17.8,175.65,73.65,5.92,65,17,18,3.389,sandy Loam,1.29,746,77,338,331,,3,3,327,,,1,1,,,1,1,6,,,1,,,,5,,5,1,7,,5,,1,5,,12,1103,330,771,0,2
229,358936.878,335292.263,5,10,Conventional,Sandy Loam,9.8,99.1,73.7,6.39,65,17,18,3.133,sandy Loam,1.15,224,18,46,160,,2,2,387,,,,0,,,,0,4,7,,,1,,,1,,1,1,4,,1,,1,7,,11,638,389,249,0,0
235,359023.35,335359.615,5,10,Conventional,Sandy Loam,13.6,71.7,56,6.18,71,16,13,2.907,sandy Loam,1.29,405,27,43,335,,1,1,337,,,,0,,,,0,,,,,,,,1,,1,,3,,1,,0,,,3,747,338,409,0,0
239,359086.86,335412.178,5,10,Conventional,Sandy Clay Loam,13,114,77,6.81,59,21,20,3.185,sandy Clay Loam,1.29,519,55,144,320,,3,3,257,,,1,1,,,,0,,2,,,,,,,,0,1,3,3,3,,1,1,,4,790,260,529,0,1
241,359088.69,335427.308,5,10,Conventional,Sandy Clay Loam,14.2,101.1,78.5,6.4,60,21,19,3.164,sandy Clay Loam,1.17,228,0,133,95,,,0,18,,,,0,,,,0,2,2,,,,,,,1,1,,4,2,3,2,2,3,,7,262,18,244,0,0
247,359130.386,335445.881,5,10,Conventional,Sandy Clay Loam,11.6,113.2,100.05,6.64,54,25,21,3.459,sandy Clay Loam,1.42,430,122,104,204,,2,2,538,,,,0,,,,0,2,,,2,,,,,,0,,2,,0,,0,3,,5,979,540,439,0,0